Rk,G,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYOFF,LEAGUE,SERIES,INDEX,NAME,G#
24,16,2001-03-18,27-269,ORL,HOME,LAL,L (-5),0,9:55,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,1,4,1.2,+3,N,NBA,,alexaco01,Cory Alexander,
25,17,2001-03-20,27-271,ORL,AWAY,CHI,W (+8),0,8:41,1,2,.500,0,0,,0,0,,0,1,1,3,0,0,1,0,2,2.4,-6,N,NBA,,alexaco01,Cory Alexander,
26,18,2001-03-21,27-272,ORL,AWAY,IND,L (-1),0,4:45,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.9,-6,N,NBA,,alexaco01,Cory Alexander,
27,19,2001-03-23,27-274,ORL,AWAY,MIL,L (-12),0,6:57,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,2,0,0,-1.4,0,N,NBA,,alexaco01,Cory Alexander,
28,20,2001-03-25,27-276,ORL,HOME,IND,W (+2),0,8:39,0,1,.000,0,1,.000,1,1,1.000,0,0,0,1,0,0,1,3,1,-1.2,-1,N,NBA,,alexaco01,Cory Alexander,
29,21,2001-03-28,27-279,ORL,AWAY,PHI,W (+1),0,8:48,1,2,.500,0,0,,0,1,.000,0,1,1,4,0,0,1,5,2,0.7,-2,N,NBA,,alexaco01,Cory Alexander,
30,22,2001-03-30,27-281,ORL,AWAY,DET,L (-3),0,14:30,0,1,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,0,0,1.0,+1,N,NBA,,alexaco01,Cory Alexander,
31,,2001-04-01,27-283,ORL,AWAY,TOR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
32,23,2001-04-03,27-285,ORL,AWAY,NYK,L (-12),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,N,NBA,,alexaco01,Cory Alexander,
33,24,2001-04-04,27-286,ORL,HOME,BOS,W (+7),0,6:28,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2.8,-1,N,NBA,,alexaco01,Cory Alexander,
34,,2001-04-06,27-288,ORL,HOME,TOR,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
35,25,2001-04-10,27-292,ORL,AWAY,CLE,L (-23),0,5:38,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,0.3,-6,N,NBA,,alexaco01,Cory Alexander,
36,26,2001-04-12,27-294,ORL,HOME,PHI,W (+24),0,10:29,0,0,,0,0,,0,1,.000,0,1,1,0,0,0,1,0,0,-1.1,-10,N,NBA,,alexaco01,Cory Alexander,
37,,2001-04-13,27-295,ORL,AWAY,WAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
1,,2005-03-01,31-252,CHA,HOME,SAC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
2,1,2005-03-02,31-253,CHA,AWAY,NOH,L (-9),0,3:06,0,0,,0,0,,0,0,,1,2,3,1,1,0,1,0,0,2.0,+4,N,NBA,,alexaco01,Cory Alexander,
3,2,2005-03-04,31-255,CHA,AWAY,BOS,L (-20),0,16:18,3,7,.429,2,3,.667,1,2,.500,2,3,5,2,1,0,3,2,9,5.8,-16,N,NBA,,alexaco01,Cory Alexander,
4,3,2005-03-05,31-256,CHA,HOME,WAS,L (-2),0,12:13,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,1,0,2,3,3,2.2,0,N,NBA,,alexaco01,Cory Alexander,
5,4,2005-03-08,31-259,CHA,AWAY,MIN,L (-5),0,10:21,1,5,.200,0,1,.000,0,0,,0,0,0,1,0,0,0,3,2,-1.6,-15,N,NBA,,alexaco01,Cory Alexander,
6,5,2005-03-11,31-262,CHA,AWAY,PHI,L (-32),0,26:30,2,5,.400,0,0,,1,2,.500,1,3,4,7,1,0,2,5,5,5.4,-15,N,NBA,,alexaco01,Cory Alexander,
7,,2005-03-12,31-263,CHA,HOME,LAL,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
8,,2005-03-14,31-265,CHA,HOME,BOS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
9,6,2005-03-16,31-267,CHA,AWAY,DEN,L (-19),0,11:40,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,1,3,0,0,-2.7,-5,N,NBA,,alexaco01,Cory Alexander,
10,7,2005-03-18,31-269,CHA,AWAY,SAS,L (-17),0,8:17,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-0.4,+3,N,NBA,,alexaco01,Cory Alexander,
11,,2005-03-19,31-270,CHA,AWAY,DAL,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
12,,2005-03-21,31-272,CHA,HOME,ORL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
13,8,2005-03-23,31-274,CHA,HOME,PHO,L (-15),0,4:03,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,1,0,-0.7,0,N,NBA,,alexaco01,Cory Alexander,
14,,2005-03-24,31-275,CHA,AWAY,ORL,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
15,,2005-03-26,31-277,CHA,HOME,MIA,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
16,,2005-03-28,31-279,CHA,HOME,NJN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
17,,2005-03-30,31-281,CHA,HOME,CHI,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
18,9,2005-04-01,31-283,CHA,HOME,TOR,L (-12),0,2:24,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,N,NBA,,alexaco01,Cory Alexander,
19,10,2005-04-02,31-284,CHA,AWAY,CHI,L (-15),0,2:47,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+1,N,NBA,,alexaco01,Cory Alexander,
20,11,2005-04-05,31-287,CHA,HOME,LAC,L (-2),0,16:58,1,5,.200,1,1,1.000,0,0,,1,3,4,5,1,0,1,4,3,3.4,-13,N,NBA,,alexaco01,Cory Alexander,
21,12,2005-04-06,31-288,CHA,AWAY,PHI,L (-3),0,27:20,4,5,.800,3,4,.750,6,6,1.000,0,0,0,4,1,0,3,5,17,13.9,-1,N,NBA,,alexaco01,Cory Alexander,
22,13,2005-04-08,31-290,CHA,AWAY,MIL,L (-18),1,20:20,1,6,.167,0,1,.000,0,0,,0,3,3,4,3,0,0,3,2,3.7,-4,N,NBA,,alexaco01,Cory Alexander,
23,,2005-04-10,31-292,CHA,AWAY,MEM,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
24,,2005-04-11,31-293,CHA,AWAY,ATL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
25,14,2005-04-13,31-295,CHA,HOME,ATL,W (+21),0,10:45,2,3,.667,1,2,.500,0,0,,1,0,1,1,0,0,1,2,5,3.3,+3,N,NBA,,alexaco01,Cory Alexander,
26,,2005-04-16,31-298,CHA,HOME,NYK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
27,15,2005-04-17,31-299,CHA,AWAY,WAS,L (-2),0,5:34,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,0,0,0,1.7,+6,N,NBA,,alexaco01,Cory Alexander,
28,16,2005-04-19,31-301,CHA,AWAY,MIA,L (-19),0,19:04,1,5,.200,0,2,.000,1,2,.500,0,2,2,3,0,0,1,0,3,1.2,-8,N,NBA,,alexaco01,Cory Alexander,
29,,2005-04-20,31-302,CHA,HOME,DET,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco01,Cory Alexander,
1,,2000-10-31,23-187,DAL,HOME,MIL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
2,,2000-11-02,23-189,DAL,HOME,IND,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
3,1,2000-11-04,23-191,DAL,HOME,UTA,L (-6),0,3:59,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,+2,N,NBA,,alexaco02,Courtney Alexander,
4,2,2000-11-06,23-193,DAL,AWAY,DEN,W (+12),0,23:08,7,12,.583,0,1,.000,0,0,,0,2,2,3,2,0,0,2,14,12.3,+24,N,NBA,,alexaco02,Courtney Alexander,
5,3,2000-11-08,23-195,DAL,HOME,VAN,L (-27),0,25:24,4,9,.444,0,0,,2,4,.500,0,1,1,1,2,1,2,2,10,5.4,-17,N,NBA,,alexaco02,Courtney Alexander,
6,4,2000-11-10,23-197,DAL,HOME,SAS,W (+2),1,7:16,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-3.3,-12,N,NBA,,alexaco02,Courtney Alexander,
7,5,2000-11-12,23-199,DAL,AWAY,SAC,L (-25),1,11:52,0,5,.000,0,0,,2,2,1.000,1,1,2,1,1,0,0,3,2,0.0,-12,N,NBA,,alexaco02,Courtney Alexander,
8,6,2000-11-13,23-200,DAL,AWAY,LAC,W (+14),0,13:50,2,6,.333,0,0,,1,2,.500,1,5,6,0,0,0,2,3,5,0.2,-5,N,NBA,,alexaco02,Courtney Alexander,
9,7,2000-11-15,23-202,DAL,AWAY,PHO,L (-21),0,8:47,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-0.2,-9,N,NBA,,alexaco02,Courtney Alexander,
10,,2000-11-17,23-204,DAL,AWAY,SEA,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
11,8,2000-11-18,23-205,DAL,AWAY,VAN,W (+3),0,3:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,N,NBA,,alexaco02,Courtney Alexander,
12,,2000-11-20,23-207,DAL,AWAY,UTA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
13,9,2000-11-21,23-208,DAL,HOME,SEA,L (-6),0,24:34,3,8,.375,1,2,.500,1,4,.250,2,2,4,0,0,0,1,4,8,1.8,-6,N,NBA,,alexaco02,Courtney Alexander,
14,10,2000-11-25,23-212,DAL,HOME,DEN,W (+24),0,4:10,1,3,.333,0,1,.000,0,1,.000,1,1,2,0,0,0,0,0,2,0.9,0,N,NBA,,alexaco02,Courtney Alexander,
15,,2000-11-28,23-215,DAL,HOME,TOR,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
16,11,2000-11-30,23-217,DAL,AWAY,POR,L (-11),0,29:14,7,15,.467,2,4,.500,4,4,1.000,2,4,6,2,2,0,3,5,20,13.3,-5,N,NBA,,alexaco02,Courtney Alexander,
17,12,2000-12-02,23-219,DAL,AWAY,GSW,W (+19),0,24:44,5,11,.455,0,1,.000,1,2,.500,0,5,5,1,0,0,1,2,11,5.3,+5,N,NBA,,alexaco02,Courtney Alexander,
18,13,2000-12-03,23-220,DAL,AWAY,LAL,L (-2),1,34:51,6,15,.400,0,1,.000,0,0,,1,2,3,2,1,0,0,5,12,5.6,+6,N,NBA,,alexaco02,Courtney Alexander,
19,14,2000-12-05,23-222,DAL,AWAY,HOU,L (-7),0,10:47,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,2,3,4,-0.9,-1,N,NBA,,alexaco02,Courtney Alexander,
20,15,2000-12-06,23-223,DAL,HOME,NYK,W (+9),0,3:43,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-9,N,NBA,,alexaco02,Courtney Alexander,
21,16,2000-12-08,23-225,DAL,HOME,CHI,W (+19),0,17:03,1,7,.143,0,0,,0,0,,0,3,3,2,1,0,1,2,2,-1.0,+3,N,NBA,,alexaco02,Courtney Alexander,
22,17,2000-12-10,23-227,DAL,AWAY,NJN,W (+26),0,8:34,1,3,.333,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,1.5,-3,N,NBA,,alexaco02,Courtney Alexander,
23,,2000-12-12,23-229,DAL,AWAY,CLE,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
24,,2000-12-13,23-230,DAL,AWAY,IND,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
25,18,2000-12-15,23-232,DAL,AWAY,PHI,W (+18),0,2:44,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.9,-1,N,NBA,,alexaco02,Courtney Alexander,
26,19,2000-12-17,23-234,DAL,AWAY,DET,W (+9),0,12:03,3,7,.429,0,0,,0,0,,0,2,2,2,0,0,0,4,6,2.7,+1,N,NBA,,alexaco02,Courtney Alexander,
27,20,2000-12-18,23-235,DAL,AWAY,BOS,W (+8),0,4:17,2,5,.400,0,0,,1,1,1.000,2,2,4,0,0,0,0,0,5,4.3,+2,N,NBA,,alexaco02,Courtney Alexander,
28,21,2000-12-20,23-237,DAL,HOME,POR,W (+5),0,9:45,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-3.2,+7,N,NBA,,alexaco02,Courtney Alexander,
29,22,2000-12-22,23-239,DAL,HOME,LAL,L (-5),0,13:55,0,5,.000,0,0,,0,0,,1,1,2,1,1,0,0,1,0,-1.2,-3,N,NBA,,alexaco02,Courtney Alexander,
30,23,2000-12-26,23-243,DAL,HOME,SEA,W (+21),0,5:03,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,+4,N,NBA,,alexaco02,Courtney Alexander,
31,24,2000-12-28,23-245,DAL,HOME,LAC,W (+9),0,7:19,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,3,4,2.2,-10,N,NBA,,alexaco02,Courtney Alexander,
32,25,2000-12-30,23-247,DAL,HOME,HOU,L (-15),0,20:34,1,3,.333,0,0,,0,0,,0,3,3,0,1,1,2,2,2,0.1,-6,N,NBA,,alexaco02,Courtney Alexander,
33,,2001-01-03,23-251,DAL,HOME,DET,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,N,NBA,,alexaco02,Courtney Alexander,
34,,2001-01-05,23-253,DAL,AWAY,TOR,W (+10),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,N,NBA,,alexaco02,Courtney Alexander,
35,,2001-01-06,23-254,DAL,AWAY,WAS,W (+18),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,N,NBA,,alexaco02,Courtney Alexander,
36,26,2001-01-08,23-256,DAL,AWAY,CHI,W (+13),0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,N,NBA,,alexaco02,Courtney Alexander,
37,27,2001-01-10,23-258,DAL,AWAY,MIN,W (+20),0,5:40,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-0.3,-7,N,NBA,,alexaco02,Courtney Alexander,
38,28,2001-01-11,23-259,DAL,AWAY,MIL,L (-8),0,8:53,2,4,.500,0,0,,3,3,1.000,0,0,0,0,0,0,0,2,7,4.2,+1,N,NBA,,alexaco02,Courtney Alexander,
39,29,2001-01-13,23-261,DAL,HOME,PHO,L (-17),0,20:32,1,5,.200,0,0,,2,2,1.000,2,3,5,0,0,0,1,3,4,1.0,-1,N,NBA,,alexaco02,Courtney Alexander,
40,30,2001-01-15,23-263,DAL,HOME,SAC,L (-11),0,6:16,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.8,-3,N,NBA,,alexaco02,Courtney Alexander,
41,31,2001-01-17,23-265,DAL,AWAY,CHH,W (+1),1,24:07,3,9,.333,0,0,,1,1,1.000,1,1,2,1,1,1,0,1,7,4.9,-13,N,NBA,,alexaco02,Courtney Alexander,
42,32,2001-01-18,23-266,DAL,HOME,ORL,W (+9),1,26:12,2,7,.286,0,0,,7,8,.875,1,0,1,1,1,0,0,6,11,6.5,-9,N,NBA,,alexaco02,Courtney Alexander,
43,33,2001-01-20,23-268,DAL,HOME,DEN,W (+18),1,12:12,1,4,.250,0,0,,0,0,,2,1,3,0,2,0,1,2,2,1.5,-1,N,NBA,,alexaco02,Courtney Alexander,
44,,2001-01-23,23-271,DAL,HOME,PHI,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
45,34,2001-01-25,23-273,DAL,HOME,VAN,W (+37),0,12:00,3,6,.500,0,0,,3,3,1.000,2,0,2,1,0,0,1,2,9,6.3,+2,N,NBA,,alexaco02,Courtney Alexander,
46,,2001-01-27,23-275,DAL,AWAY,DEN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
47,,2001-02-01,23-280,DAL,HOME,MIA,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
48,,2001-02-03,23-282,DAL,HOME,GSW,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
49,35,2001-02-05,23-284,DAL,AWAY,ATL,W (+10),0,5:09,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-14,N,NBA,,alexaco02,Courtney Alexander,
50,36,2001-02-07,23-286,DAL,AWAY,NYK,L (-3),0,4:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,N,NBA,,alexaco02,Courtney Alexander,
51,37,2001-02-13,23-292,DAL,AWAY,SAS,L (-12),0,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,N,NBA,,alexaco02,Courtney Alexander,
52,38,2001-02-15,23-294,DAL,HOME,CLE,W (+21),0,5:42,0,3,.000,0,0,,0,2,.000,0,0,0,0,0,0,0,3,0,-4.1,-6,N,NBA,,alexaco02,Courtney Alexander,
53,,2001-02-17,23-296,DAL,HOME,WAS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
54,,2001-02-20,23-299,DAL,HOME,LAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,N,NBA,,alexaco02,Courtney Alexander,
55,,2001-02-22,23-301,WAS,HOME,SAC,L (-5),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,N,NBA,,alexaco02,Courtney Alexander,
56,39,2001-02-24,23-303,WAS,HOME,TOR,L (-7),0,22:59,6,13,.462,0,1,.000,1,1,1.000,2,2,4,0,1,0,2,0,13,7.3,0,N,NBA,,alexaco02,Courtney Alexander,
57,40,2001-02-25,23-304,WAS,AWAY,NJN,L (-10),0,22:25,0,11,.000,0,0,,2,2,1.000,1,3,4,1,0,0,1,1,2,-4.8,+12,N,NBA,,alexaco02,Courtney Alexander,
